,match_id,for team,name,match_type,date,neutral,against,venue,runs,balls_faced
0,7.0,Australia,DA Warner,ODI,2017-01-13,,Pakistan,"Brisbane Cricket Ground, Woolloongabba",7.0,19.0
1,8.0,Australia,DA Warner,ODI,2017-01-15,,Pakistan,Melbourne Cricket Ground,16.0,25.0
2,9.0,Australia,DA Warner,ODI,2017-01-19,,Pakistan,Western Australia Cricket Association Ground,35.0,38.0
3,10.0,Australia,DA Warner,ODI,2017-01-22,,Pakistan,Sydney Cricket Ground,130.0,119.0
4,11.0,Australia,DA Warner,ODI,2017-01-26,,Pakistan,Adelaide Oval,179.0,129.0
5,15.0,Australia,DA Warner,ODI,2016-12-04,,New Zealand,Sydney Cricket Ground,24.0,30.0
6,16.0,Australia,DA Warner,ODI,2016-12-06,,New Zealand,Manuka Oval,119.0,116.0
7,17.0,Australia,DA Warner,ODI,2016-12-09,,New Zealand,Melbourne Cricket Ground,156.0,132.0
8,59.0,Australia,DA Warner,ODI,2017-06-02,1.0,New Zealand,Edgbaston,18.0,16.0
9,62.0,Australia,DA Warner,ODI,2017-06-05,1.0,Bangladesh,Kennington Oval,40.0,44.0
10,67.0,Australia,DA Warner,ODI,2017-06-10,,England,Edgbaston,21.0,25.0
11,1000.0,Australia,DA Warner,T20,2009-08-30,,England,Old Trafford,33.0,29.0
12,1008.0,Australia,DA Warner,T20,2009-03-27,,South Africa,New Wanderers Stadium,38.0,30.0
13,1009.0,Australia,DA Warner,T20,2009-03-29,,South Africa,SuperSport Park,20.0,17.0
14,1021.0,Australia,DA Warner,ODI,2009-01-18,,South Africa,Bellerive Oval,5.0,7.0
15,1022.0,Australia,DA Warner,ODI,2009-01-23,,South Africa,Sydney Cricket Ground,69.0,63.0
16,1023.0,Australia,DA Warner,ODI,2009-01-26,,South Africa,Adelaide Oval,1.0,9.0
17,1024.0,Australia,DA Warner,ODI,2009-01-30,,South Africa,Western Australia Cricket Association Ground,22.0,30.0
18,1025.0,Australia,DA Warner,ODI,2009-02-01,,New Zealand,Western Australia Cricket Association Ground,7.0,18.0
19,1026.0,Australia,DA Warner,ODI,2009-02-06,,New Zealand,Melbourne Cricket Ground,2.0,11.0
20,1030.0,Australia,DA Warner,T20,2009-01-11,,South Africa,Melbourne Cricket Ground,89.0,43.0
21,1031.0,Australia,DA Warner,T20,2009-01-13,,South Africa,"Brisbane Cricket Ground, Woolloongabba",7.0,12.0
22,1032.0,Australia,DA Warner,T20,2009-02-15,,New Zealand,Sydney Cricket Ground,23.0,15.0
23,1048.0,Australia,DA Warner,T20,2009-06-06,1.0,West Indies,Kennington Oval,63.0,53.0
24,1053.0,Australia,DA Warner,T20,2009-06-08,1.0,Sri Lanka,Trent Bridge,0.0,3.0
25,1242.0,Australia,DA Warner,T20,2010-02-21,,West Indies,Bellerive Oval,49.0,32.0
26,1243.0,Australia,DA Warner,T20,2010-02-23,,West Indies,Sydney Cricket Ground,67.0,32.0
27,1252.0,Australia,DA Warner,T20,2010-02-05,,Pakistan,Melbourne Cricket Ground,24.0,14.0
28,1264.0,Australia,DA Warner,T20,2010-05-02,1.0,Pakistan,"Beausejour Stadium, Gros Islet",26.0,18.0
29,1269.0,Australia,DA Warner,T20,2010-05-05,1.0,Bangladesh,"Kensington Oval, Bridgetown",16.0,11.0
30,1272.0,Australia,DA Warner,T20,2010-05-07,1.0,India,"Kensington Oval, Bridgetown",72.0,42.0
31,1277.0,Australia,DA Warner,T20,2010-05-09,1.0,Sri Lanka,"Kensington Oval, Bridgetown",9.0,13.0
32,1281.0,Australia,DA Warner,T20,2010-05-11,,West Indies,"Beausejour Stadium, Gros Islet",25.0,13.0
33,1283.0,Australia,DA Warner,T20,2010-05-14,1.0,Pakistan,"Beausejour Stadium, Gros Islet",0.0,3.0
34,1284.0,Australia,DA Warner,T20,2010-05-16,1.0,England,"Kensington Oval, Bridgetown",2.0,4.0
35,1385.0,Australia,DA Warner,T20,2010-02-26,,New Zealand,Westpac Stadium,19.0,10.0
36,1386.0,Australia,DA Warner,T20,2010-02-28,,New Zealand,AMI Stadium,20.0,13.0
37,1400.0,Australia,DA Warner,T20,2010-07-05,1.0,Pakistan,Edgbaston,41.0,32.0
38,1401.0,Australia,DA Warner,T20,2010-07-06,1.0,Pakistan,Edgbaston,1.0,3.0
39,1534.0,Australia,DA Warner,T20,2010-10-31,,Sri Lanka,Western Australia Cricket Association Ground,2.0,9.0
40,1538.0,Australia,DA Warner,T20,2011-01-12,,England,Adelaide Oval,30.0,28.0
41,1539.0,Australia,DA Warner,T20,2011-01-14,,England,Melbourne Cricket Ground,30.0,27.0
42,1767.0,Australia,DA Warner,T20,2011-10-13,,South Africa,Newlands,0.0,1.0
43,1768.0,Australia,DA Warner,T20,2011-10-16,,South Africa,New Wanderers Stadium,0.0,11.0
44,1769.0,Australia,DA Warner,ODI,2011-10-19,,South Africa,SuperSport Park,20.0,17.0
45,1770.0,Australia,DA Warner,ODI,2011-10-23,,South Africa,St George's Park,74.0,97.0
46,1771.0,Australia,DA Warner,ODI,2011-10-28,,South Africa,Kingsmead,10.0,19.0
47,1782.0,Australia,DA Warner,T20,2011-08-06,,Sri Lanka,Pallekele International Cricket Stadium,53.0,35.0
48,1783.0,Australia,DA Warner,T20,2011-08-08,,Sri Lanka,Pallekele International Cricket Stadium,16.0,18.0
49,1798.0,Australia,DA Warner,T20,2012-02-01,,India,Stadium Australia,25.0,14.0
50,1799.0,Australia,DA Warner,T20,2012-02-03,,India,Melbourne Cricket Ground,8.0,9.0
51,1800.0,Australia,DA Warner,ODI,2012-02-05,,India,Melbourne Cricket Ground,6.0,15.0
52,1802.0,Australia,DA Warner,ODI,2012-02-10,,Sri Lanka,Western Australia Cricket Association Ground,34.0,31.0
53,1803.0,Australia,DA Warner,ODI,2012-02-12,,India,Adelaide Oval,18.0,25.0
54,1805.0,Australia,DA Warner,ODI,2012-02-17,,Sri Lanka,Sydney Cricket Ground,13.0,22.0
55,1806.0,Australia,DA Warner,ODI,2012-02-19,,India,"Brisbane Cricket Ground, Woolloongabba",43.0,47.0
56,1808.0,Australia,DA Warner,ODI,2012-02-24,,Sri Lanka,Bellerive Oval,7.0,15.0
57,1809.0,Australia,DA Warner,ODI,2012-02-26,,India,Sydney Cricket Ground,68.0,68.0
