index_all,info.dates,info.gender,info.match_type,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.result,info.outcome.winner,info.player_of_match,info.teams,info.toss.decision,info.toss.winner,info.venue
1,"[datetime.date(2016, 11, 3), datetime.date(2016, 11, 4), datetime.date(2016, 11, 5), datetime.date(2016, 11, 6), datetime.date(2016, 11, 7)]",male,Test,177,,,South Africa,['K Rabada'],"['Australia', 'South Africa']",bat,South Africa,Western Australia Cricket Association Ground
2,"[datetime.date(2016, 11, 12), datetime.date(2016, 11, 13), datetime.date(2016, 11, 14), datetime.date(2016, 11, 15)]",male,Test,80,,,South Africa,['KJ Abbott'],"['Australia', 'South Africa']",field,South Africa,Bellerive Oval
3,"[datetime.date(2016, 11, 24), datetime.date(2016, 11, 25), datetime.date(2016, 11, 26), datetime.date(2016, 11, 27)]",male,Test,,7,,Australia,['UT Khawaja'],"['Australia', 'South Africa']",bat,South Africa,Adelaide Oval
4,"[datetime.date(2016, 12, 15), datetime.date(2016, 12, 16), datetime.date(2016, 12, 17), datetime.date(2016, 12, 18), datetime.date(2016, 12, 19)]",male,Test,39,,,Australia,['Asad Shafiq'],"['Australia', 'Pakistan']",bat,Australia,"Brisbane Cricket Ground, Woolloongabba"
5,"[datetime.date(2016, 12, 26), datetime.date(2016, 12, 27), datetime.date(2016, 12, 28), datetime.date(2016, 12, 29), datetime.date(2016, 12, 30)]",male,Test,18,,,Australia,['SPD Smith'],"['Australia', 'Pakistan']",bat,Pakistan,Melbourne Cricket Ground
6,"[datetime.date(2017, 1, 3), datetime.date(2017, 1, 4), datetime.date(2017, 1, 5), datetime.date(2017, 1, 6), datetime.date(2017, 1, 7)]",male,Test,220,,,Australia,['DA Warner'],"['Australia', 'Pakistan']",bat,Australia,Sydney Cricket Ground
7,"[datetime.date(2017, 1, 13)]",male,ODI,92,,,Australia,['MS Wade'],"['Australia', 'Pakistan']",bat,Australia,"Brisbane Cricket Ground, Woolloongabba"
8,"[datetime.date(2017, 1, 15)]",male,ODI,,6,,Pakistan,['Mohammad Hafeez'],"['Australia', 'Pakistan']",bat,Australia,Melbourne Cricket Ground
9,"[datetime.date(2017, 1, 19)]",male,ODI,,7,,Australia,['SPD Smith'],"['Australia', 'Pakistan']",field,Australia,Western Australia Cricket Association Ground
10,"[datetime.date(2017, 1, 22)]",male,ODI,86,,,Australia,['DA Warner'],"['Australia', 'Pakistan']",bat,Australia,Sydney Cricket Ground
11,"[datetime.date(2017, 1, 26)]",male,ODI,57,,,Australia,['DA Warner'],"['Australia', 'Pakistan']",bat,Australia,Adelaide Oval
12,"[datetime.date(2017, 2, 17)]",male,T20,,5,,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']",field,Sri Lanka,Melbourne Cricket Ground
13,"[datetime.date(2017, 2, 19)]",male,T20,,2,,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']",field,Sri Lanka,"Simonds Stadium, South Geelong"
14,"[datetime.date(2017, 2, 22)]",male,T20,41,,,Australia,['A Zampa'],"['Australia', 'Sri Lanka']",field,Sri Lanka,Adelaide Oval
15,"[datetime.date(2016, 12, 4)]",male,ODI,68,,,Australia,['SPD Smith'],"['Australia', 'New Zealand']",bat,Australia,Sydney Cricket Ground
16,"[datetime.date(2016, 12, 6)]",male,ODI,116,,,Australia,['DA Warner'],"['Australia', 'New Zealand']",field,New Zealand,Manuka Oval
17,"[datetime.date(2016, 12, 9)]",male,ODI,117,,,Australia,['DA Warner'],"['Australia', 'New Zealand']",bat,Australia,Melbourne Cricket Ground
18,"[datetime.date(2016, 7, 4)]",male,ODI,,,no result,,,"['Scotland', 'Afghanistan']",field,Scotland,"Grange Cricket Club Ground, Raeburn Place"
19,"[datetime.date(2016, 7, 6)]",male,ODI,78,,,Afghanistan,,"['Scotland', 'Afghanistan']",bat,Afghanistan,"Grange Cricket Club Ground, Raeburn Place"
20,"[datetime.date(2016, 10, 16), datetime.date(2016, 10, 17), datetime.date(2016, 10, 18), datetime.date(2016, 10, 19)]",male,MDM,199,,,Papua New Guinea,,"['Papua New Guinea', 'Namibia']",bat,Papua New Guinea,Amini Park
21,"[datetime.date(2016, 10, 21)]",male,ODM,,5,,Papua New Guinea,,"['Papua New Guinea', 'Namibia']",bat,Namibia,Amini Park
22,"[datetime.date(2016, 10, 23)]",male,ODM,,6,,Papua New Guinea,,"['Papua New Guinea', 'Namibia']",bat,Namibia,Amini Park
23,"[datetime.date(2016, 8, 13)]",male,ODM,,7,,Netherlands,,"['Netherlands', 'Nepal']",field,Netherlands,VRA Ground
24,"[datetime.date(2016, 11, 20)]",male,ODM,39,,,Hong Kong,['Babar Hayat'],"['Kenya', 'Hong Kong']",field,Kenya,Gymkhana Club Ground
25,"[datetime.date(2016, 7, 29), datetime.date(2016, 7, 30)]",male,MDM,36,,,Afghanistan,,"['Netherlands', 'Afghanistan']",field,Afghanistan,Sportpark Westvliet
26,"[datetime.date(2016, 9, 8)]",male,ODI,,,no result,,,"['Scotland', 'Hong Kong']",field,Hong Kong,"Grange Cricket Club Ground, Raeburn Place"
27,"[datetime.date(2016, 9, 10)]",male,ODI,53,,,Scotland,,"['Scotland', 'Hong Kong']",bat,Scotland,"Grange Cricket Club Ground, Raeburn Place"
28,"[datetime.date(2016, 9, 5)]",male,T20,40,,,Hong Kong,,"['Ireland', 'Hong Kong']",bat,Hong Kong,"Bready Cricket Club, Magheramason"
29,"[datetime.date(2016, 6, 11)]",male,ODI,,9,,India,['KL Rahul'],"['Zimbabwe', 'India']",field,India,Harare Sports Club
30,"[datetime.date(2016, 6, 13)]",male,ODI,,8,,India,['YS Chahal'],"['Zimbabwe', 'India']",field,India,Harare Sports Club
31,"[datetime.date(2016, 6, 15)]",male,ODI,,10,,India,['KL Rahul'],"['Zimbabwe', 'India']",bat,Zimbabwe,Harare Sports Club
